stations,lon,lat,year,hour,PM25
2700A,75.9435,39.4365,20180101,12,245
2698A,75.9828,39.5371,20180101,12,134
2697A,76.1861,39.7153,20180101,12,64
2702A,79.9117,37.1013,20180101,12,182
2630A,80.1161,32.5,20180101,12,65
2695A,80.2828,41.1636,20180101,12,70
2696A,80.2956,41.1933,20180101,12,107
2703A,81.2815,43.9404,20180101,12,151
2704A,81.2867,43.895,20180101,12,136
2693A,82.0485,44.9079,20180101,12,27
2694A,82.0806,44.8969,20180101,12,47
2706A,82.9994,46.7432,20180101,12,36
1951A,84.8861,45.6033,20180101,12,47
1952A,84.8897,45.5828,20180101,12,36
1954A,84.8983,44.3336,20180101,12,26
1953A,85.1186,45.6886,20180101,12,41
2709A,86.0497,44.2967,20180101,12,118
2710A,86.0697,44.3075,20180101,12,86
1956A,86.1461,41.7511,20180101,12,79
1957A,86.2022,41.7192,20180101,12,52
1958A,86.2381,41.7128,20180101,12,54
2692A,87.2717,44.0297,20180101,12,138
2691A,87.2997,44.0114,20180101,12,168
3033A,87.4651,43.4569,20180101,12,17
1492A,87.4754,43.9469,20180101,12,139
2711A,87.5475,44.1756,20180101,12,174
1493A,87.5525,43.8711,20180101,12,98
1490A,87.5801,43.8303,20180101,12,96
1491A,87.6046,43.768,20180101,12,121
1494A,87.6432,43.831,20180101,12,138
1496A,87.6444,43.962,20180101,12,46
2690A,87.9897,44.1564,20180101,12,13
2707A,88.1214,47.9047,20180101,12,4
2708A,88.1267,47.8515,20180101,12,18
2626A,88.8876,29.2718,20180101,12,34
2627A,88.8931,29.2365,20180101,12,19
2687A,89.1673,42.9559,20180101,12,120
2686A,89.191,42.9409,20180101,12,71
1461A,91.0834,29.6292,20180101,12,27
1458A,91.0874,29.6475,20180101,12,30
1457A,91.1221,29.6747,20180101,12,16
1456A,91.1319,29.6514,20180101,12,32
1459A,91.1774,29.6541,20180101,12,14
2624A,91.7608,29.2313,20180101,12,18
2625A,91.7706,29.261,20180101,12,14
3128A,92.0506,31.4797,20180101,12,72
2628A,92.0657,31.4846,20180101,12,173
2689A,93.4961,42.8328,20180101,12,25
2688A,93.5128,42.8172,20180101,12,26
2633A,94.3616,29.6632,20180101,12,11
2632A,94.3681,29.6376,20180101,12,20
2622A,97.1804,31.1278,20180101,12,53
2623A,97.1809,31.1254,20180101,12,36
2676A,97.3731,37.3753,20180101,12,15
2884A,98.26722222,39.79777778,20180101,12,22
2659A,98.5023,39.7294,20180101,12,59
2658A,98.509,39.746,20180101,12,65
2617A,98.578,24.441,20180101,12,53
2616A,98.5842,24.428,20180101,12,48
2619A,98.8546,25.8417,20180101,12,43
2618A,98.8601,25.8567,20180101,12,15
2594A,99.1678,25.1081,20180101,12,42
2595A,99.1711,25.1328,20180101,12,41
2621A,99.7056,27.8317,20180101,12,55
2620A,99.7064,27.8136,20180101,12,80
2604A,100.0782,23.8982,20180101,12,30
2603A,100.0869,23.8822,20180101,12,41
2614A,100.1542,25.7054,20180101,12,6
2598A,100.2143,26.8576,20180101,12,27
2600A,100.2203,26.8906,20180101,12,22
2599A,100.2497,26.8802,20180101,12,41
2674A,100.2561,34.4714,20180101,12,208
2655A,100.4497,38.9389,20180101,12,86
2654A,100.4686,38.9467,20180101,12,39
2673A,100.6188,36.2866,20180101,12,34
2612A,100.7939,22.0019,20180101,12,13
2613A,100.8017,22.0225,20180101,12,8
